tanggal_gabungan,product,kategori,batch,umur,region,kategori_kesibukan,kategori_pekerjaan,combined,motivation_cloud,channel_clean
2024-01-02,Data Science,JCJC+,26.0,33.0,java_non_jabodetabek,Job seeker,Job Seeker / Unemployed,"memiliki presepsi jika data science itu membutuhkan ketelitian data sedangkan jurusan sebelumnya adalah akuntansi dan manajemen dan sama-sama teliti jadi pasti bisa jika belajar data science dan ingin kerja di bidang science dan dibimbing ini ada job connector Job Connector dan kualitas dari Dibimbing, serta fasilitasnya",milik presepsi data science butuh teliti data jurus akuntansi manajemen teliti ajar data science kerja bidang science bimbing job connector job connector kualitas bimbing fasilitas,instagram
2024-01-02,Data Engineering,CAJC,4.0,24.0,jabodetabek,Pekerja,Government Employee,"motivasi mengikuti bootcamp sata engineering karena sallarynya lumayan dan untuk belajar ilmu coding  tidak terlalu susah dan sistem kerjanya kebanyakan kalau dilihat kebanyakan hybrid Karena harga affordable, waktunya tidak mengganggu pekerjaannya karena di weeekend",motivasi ikut bootcamp sata engineering sallarynya lumayan ajar ilmu coding susah sistem kerja banyak banyak hybrid harga affordable ganggu kerja weeekend,instagram
2024-01-02,Product Management,JCJC+,9.0,27.0,jabodetabek,Pekerja,Private Employee, Kurikulum di Dibimbing paling sesuai dan harganya affordable dan kualitas nya paling okee,kurikulum bimbing sesuai harga affordable kualitas nya okee,google
2024-01-02,Digital Marketing,JCJC+,23.0,29.0,outside_java,Pekerja,Private Employee,"pengen switch career di Digital Marketing karena lebih luas dan peluangnya lebih banyak tenaganya dan peluang kerjanya lebih besar apalagi di Dibimbing ada job connector dan rencana ingin pindah domisili dari Balikpapan ke Jawa (Semarang) Dari sisi silabus materinya lengkap, harganya affordable dan websitenya informatif dan melihat dari alumni bootcamp di Dibimbing dan lebih pas dengan Dibimbing",ken switch career digital marketing luas peluang tenaga peluang kerja bimbing job connector rencana pindah domisili balikpapan jawa semarang sisi silabus materi lengkap harga affordable websitenya informatif alumni bootcamp bimbing pas bimbing,instagram
2024-01-03,UI/UX,JCJC+,24.0,24.0,outside_java,Pekerja,Freelancer / Part-Time,"karena sebelumnya sudah pegang UX Designer sehingga memiliki rasa kepuasan tersendiri dan dengan mengikuti bootcamp nanti akan ada challenging tersendiri karena akan di kasih case lebih tepatnya ingin memperdalam terkait UI UX dan ingin mencari pekerjaan yang selinier dengan UI UX di Linkedin dan di CV diperbarui sehingga dapat mengupdate di Linkedin melalui case yang dikerjakan di Dibimbing, dapat penyaluran kerja dari Dibimbing dan dari Linkedin",pegang ux designer milik puas sendiri ikut bootcamp challenging sendiri kasih case tepat dalam kait ui ux cari kerja linier ui ux linkedin cv baru mengupdate linkedin case bimbing salur kerja bimbing linkedin,referral
2024-01-03,Digital Marketing,JCJC+,23.0,24.0,unknown,Pekerja,Other,"Memperdalam skill mengenai digital marketing tidak hanya sebatas belajar secara mandiri aja tapi ada pendampingan. Selain itu harapan dengan punya ilmu ini bisa mengembangkan bisnis (FnB) Customer care, fasilitas (job connector), materi belajar",dalam skill digital marketing batas ajar mandiri aja damping harap ilmu kembang bisnis fnb customer care fasilitas job connector materi ajar,google
2024-01-03,Digital Marketing,JCJC+,23.0,29.0,outside_java,Pekerja,Other,Ingin memperdalam skill digital marketing dan ingin membantu perusahaan untuk grow up dan supaya dapat mengejar target yang telah ditetapkan perusahaan Dibimbing lebih proper daripada yang lain dan menurut analisinya dibimbing lebih baik,dalam skill digital marketing bantu usaha grow up kejar target tetap usaha bimbing proper analis bimbing,instagram
2024-01-04,Business Intelligence,CAJC,9.0,22.0,jabodetabek,Mahasiswa,Student,"Dari semester 3 mulai tertarik untuk belajar mengenai data (tau dari revou -> data analyst dan digital marketing). Tapi memang ketertarikannya lebih ke bidang datanya jadi ingin memperdalamnya lebih ke business intelligence (karena bisnis juga bisa dilihat dari sisi data yang lebih mendukung). Ada rencana untuk melanjutkan kuliah S2 di Business Intelligence Revou (case study kurang worth it). Real case study, materi belajar",semester tarik ajar data tau revou data analyst digital marketing tari bidang data dalam business intelligence bisnis sisi data dukung rencana lanjut kuliah s business intelligence revou case study worth it real case study materi ajar,linkedin
2024-01-04,Web Development (FE),JCJC+,17.0,22.0,outside_java,Job seeker,Job Seeker / Unemployed,Waktu kuliah semester 3 ada matkul pengebangan aplikasi rumah sakit dalam mengembangkan askep nya lalu dari hal tsb tertarik untuk mempelajari aplikaisi tsb jadi setelah lulus kuliah langsung ingin mengikuti bootcamp di bidang Web Development Melihat testimoni nya bagus-bagus melalui google dan Instagram,kuliah semester matkul bang aplikasi rumah sakit kembang askep nya tsb tarik ajar aplikaisi tsb lulus kuliah langsung ikut bootcamp bidang web development testimoni nya bagus bagus google instagram,google
2024-01-04,Web Development (FE),JCJC+,17.0,24.0,outside_java,Job seeker,Job Seeker / Unemployed,"Ingin memperdalam bahasa pemrograman dan meningkatkan skill di bidang IT. Jadi ingin punya pekerjaan yang bisa dilakukan secara remote Harga affordable, jadwal pembelajaran (sabtu dan minggu)",dalam bahasa pemrograman tingkat skill bidang it kerja remote harga affordable jadwal ajar sabtu minggu,google
